custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,city_BOM,city_DEL,city_MAA,city_BLR,favday_Monday,favday_Tuesday,favday_Friday,favday_Thursday,favday_Wednesday,favday_Saturday,favday_Sunday,created_year,created_month,firstorder_year,firstorder_month,lastorder_year,lastorder_month
JRGJKD,0,2011-07-30,2011-07-30,2011-11-05,1,100.0,0.0,74.74,0.020408163,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,6,2011,6,2011,10
W7P5JN,0,2011-01-06,2011-01-08,2011-01-08,0,0.0,0.0,57.5,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,0,2011,0,2011,0
NHPYP4,0,2010-09-09,2010-11-09,2010-11-09,0,0.0,0.0,146.04,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,8,2010,10,2010,10
RK9RF5,1,2012-09-15,2012-11-25,2012-11-25,45,0.0,0.0,49.71,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012,8,2012,10,2012,10
XEB4QJ,0,2010-09-07,2011-01-18,2011-01-18,0,0.0,0.0,49.98,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,8,2011,0,2011,0
4JGJZB,0,2011-05-16,2011-05-18,2011-05-18,0,0.0,0.0,50.94,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,4,2011,4,2011,4
BHUC4L,0,2011-08-14,2011-08-14,2011-08-14,0,0.0,0.0,36.26,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,7,2011,7,2011,7
SZLVYE,1,2010-08-28,2010-10-27,2013-12-22,43,90.69767442,2.325581395,69.03,0.026041667,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,7,2010,9,2013,11
GNUXXX,1,2012-09-29,2012-11-18,2013-12-17,44,70.45454545,15.90909091,88.68,0.007614213,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012,8,2012,10,2013,11
66GHYN,1,2012-08-28,2012-07-20,2012-08-16,36,16.66666667,5.555555556,102.35,0.111111111,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012,7,2012,6,2012,7
QKEW3S,1,2011-06-27,2011-11-15,2011-11-15,16,0.0,0.0,53.42,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011,5,2011,10,2011,10
XRH825,0,2011-01-25,2011-02-16,2011-02-16,0,0.0,0.0,50.27,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,0,2011,1,2011,1
9P6VZH,0,2011-05-23,2011-05-24,2011-05-24,0,0.0,0.0,112.01,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,4,2011,4,2011,4
TA9A2T,0,2012-08-28,2012-07-20,2012-08-16,0,0.0,0.0,69.99,0.074074074,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012,7,2012,6,2012,7
Z9V68F,1,2011-02-27,2011-02-27,2011-02-27,16,0.0,0.0,62.71,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,1,2011,1,2011,1
BHMCXB,1,2010-12-14,2011-01-27,2012-02-14,36,55.55555556,2.777777778,47.51,0.007832898,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,11,2011,0,2012,1
M5DKLC,1,2010-09-14,2010-09-14,2010-09-14,44,4.545454545,0.0,22.82,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,8,2010,8,2010,8
NP9WPM,0,2011-05-29,2011-06-27,2011-11-03,1,100.0,0.0,58.02,0.015503876,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011,4,2011,5,2011,10
DFWFCS,1,2011-07-16,2011-08-24,2013-11-11,48,41.66666667,10.41666667,127.78,0.008641975,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,6,2011,7,2013,10
8J5BEP,1,2011-10-13,2011-10-13,2012-05-17,43,27.90697674,2.325581395,37.56,0.013824885,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,9,2011,9,2012,4
CEEN53,1,2011-10-15,2011-10-21,2012-12-05,46,6.52173913,2.173913043,65.89,0.058394161,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011,9,2011,9,2012,11
F5UN6W,0,2012-08-28,2013-08-28,2013-08-28,0,0.0,0.0,44.11,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012,7,2013,7,2013,7
HWGSFM,0,2011-10-04,2011-10-04,2011-10-04,0,0.0,0.0,68.75,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,9,2011,9,2011,9
8GZDMD,0,2012-08-28,2013-11-17,2013-11-17,0,0.0,0.0,45.6,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2012,7,2013,10,2013,10
VNBN42,1,2010-11-01,2011-05-02,2011-05-02,16,0.0,0.0,45.61,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,10,2011,4,2011,4
2SCQ9Y,0,2010-01-04,2010-01-11,2012-08-20,0,0.0,0.0,59.45,0.005252101,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,0,2010,0,2012,7
Z3XAPL,1,2011-04-20,2011-04-20,2011-09-22,47,4.255319149,0.0,57.25,0.04516129,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,3,2011,3,2011,8
QSH87A,1,2013-06-19,2013-07-14,2013-07-14,43,11.62790698,6.976744186,37.25,0.0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013,5,2013,6,2013,6
ZUXGS6,1,2011-06-25,2011-06-26,2011-08-09,42,45.23809524,2.380952381,50.9,0.045454545,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,5,2011,5,2011,7
BUZEYK,1,2011-11-02,2011-11-02,2011-11-02,46,4.347826087,0.0,50.59,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,10,2011,10,2011,10
HWVU2Y,0,2012-03-05,2012-03-06,2012-08-21,0,0.0,0.0,50.66,0.083333333,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2012,2,2012,2,2012,7
QDY79Y,0,2011-04-05,2012-01-13,2012-01-13,0,0.0,0.0,126.78,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,3,2012,0,2012,0
WTCNHW,1,2012-01-04,2012-01-17,2012-01-17,16,0.0,0.0,52.29,0.0,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2012,0,2012,0,2012,0
8WBP37,1,2011-10-21,2011-10-21,2012-04-16,46,6.52173913,0.0,38.76,0.039325843,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,9,2011,9,2012,3
WXL7MH,1,2010-10-18,2010-10-18,2010-10-18,45,0.0,0.0,63.79,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,9,2010,9,2010,9
C34N5R,0,2012-09-11,2012-09-12,2012-12-12,0,0.0,0.0,168.89,0.076923077,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2012,8,2012,8,2012,11
T3XEBL,0,2013-05-31,2013-10-15,2013-10-15,12,16.66666667,8.333333333,62.79,0.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013,4,2013,9,2013,9
FQVJYS,0,2011-08-03,2011-08-19,2011-08-19,0,0.0,0.0,49.78,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,7,2011,7,2011,7
AWY333,0,2011-10-17,2011-10-18,2012-01-19,0,0.0,0.0,100.33,0.053763441,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,9,2011,9,2012,0
97Q2A3,0,2008-10-09,2009-01-20,2009-01-20,0,0.0,0.0,19.84,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2008,9,2009,0,2009,0
7XAA3U,1,2011-06-26,2011-06-29,2011-06-29,34,11.76470588,0.0,20.91,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,5,2011,5,2011,5
HP89YL,0,2011-11-13,2011-11-13,2012-06-11,3,100.0,0.0,62.03,0.033175355,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,10,2011,10,2012,5
BQ562F,0,2011-10-26,2011-10-26,2012-03-16,0,0.0,0.0,90.97,0.042253521,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,9,2011,9,2012,2
ZT3YKU,0,2012-02-21,2012-02-22,2012-02-22,0,0.0,0.0,51.95,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012,1,2012,1,2012,1
L2GWKM,1,2012-05-04,2012-05-04,2012-05-04,45,0.0,0.0,132.08,0.0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,4,2012,4,2012,4
2U3XX7,1,2012-10-04,2012-10-10,2012-10-24,45,0.0,0.0,84.12,0.142857143,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2012,9,2012,9,2012,9
E4M4P3,0,2011-03-14,2011-03-23,2011-03-23,0,0.0,0.0,182.6,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,2,2011,2,2011,2
RGEZGB,1,2011-06-28,2011-07-04,2011-07-04,16,0.0,0.0,34.48,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,5,2011,6,2011,6
LMJU8F,1,2012-08-28,2013-10-08,2013-10-08,37,24.32432432,13.51351351,30.55,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2012,7,2013,9,2013,9
2DTRJU,1,2011-08-30,2011-08-31,2011-10-04,47,0.0,0.0,75.28,0.117647059,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,7,2011,7,2011,9
VMBGG2,0,2010-03-05,2010-11-29,2011-08-25,0,0.0,0.0,58.15,0.018587361,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,2,2010,10,2011,7
43RETM,1,2012-08-28,2012-07-24,2012-10-01,46,2.173913043,0.0,52.75,0.086956522,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012,7,2012,6,2012,9
AS8A64,1,2012-06-01,2012-06-01,2012-06-01,44,4.545454545,0.0,85.05,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,5,2012,5,2012,5
5GDD5L,1,2010-08-05,2011-12-21,2012-04-01,40,47.5,5.0,120.11,0.019607843,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,7,2011,11,2012,3
LQ6XSA,1,2012-11-19,2013-10-27,2013-10-27,39,2.564102564,0.0,40.02,0.0,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,10,2013,9,2013,9
YK8YC4,1,2011-11-15,2011-11-17,2011-11-17,45,0.0,0.0,52.35,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,10,2011,10,2011,10
VC3DLQ,0,2010-07-28,2011-02-17,2011-03-08,0,0.0,0.0,15.95,0.578947368,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,6,2011,1,2011,2
RDZVWE,1,2011-05-18,2012-02-02,2013-09-29,40,55.0,20.0,77.46,0.01322314,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,4,2012,1,2013,8
TK9CTA,0,2012-10-05,2012-10-05,2012-10-05,0,0.0,0.0,66.47,0.0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2012,9,2012,9,2012,9
RHL8NN,1,2011-01-24,2011-04-19,2014-01-19,15,100.0,20.0,78.28,0.029821074,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,0,2011,3,2014,0
BY5ZUR,1,2011-05-17,2011-06-08,2011-10-19,16,0.0,0.0,51.17,0.015037594,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,4,2011,5,2011,9
E567GE,1,2011-07-11,2011-07-11,2011-07-11,16,0.0,0.0,49.42,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,6,2011,6,2011,6
Q9U8LD,1,2012-08-28,2012-07-26,2012-07-26,35,5.714285714,2.857142857,120.11,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012,7,2012,6,2012,6
QN7Q5F,0,2012-08-28,2012-07-26,2012-08-02,24,20.83333333,0.0,60.37,0.285714286,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012,7,2012,6,2012,7
9YT8NA,0,2010-11-16,2010-11-24,2010-11-24,0,0.0,0.0,46.45,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,10,2010,10,2010,10
SJ3AXW,0,2010-07-08,2012-07-12,2012-07-12,0,0.0,0.0,394.05,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2010,6,2012,6,2012,6
UU5W2Z,1,2011-11-10,2011-11-10,2011-11-10,16,0.0,0.0,52.04,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,10,2011,10,2011,10
S89JGJ,0,2012-08-28,2012-07-24,2012-08-28,0,0.0,0.0,63.28,0.171428571,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012,7,2012,6,2012,7
Y4Y4PU,0,2009-12-31,2010-01-05,2010-08-01,0,0.0,0.0,45.83,0.009615385,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2009,11,2010,0,2010,7
CLBSW3,0,2010-06-23,2010-06-28,2010-06-28,0,0.0,0.0,184.08,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,5,2010,5,2010,5
YVKB54,1,2012-10-02,2012-10-02,2012-10-02,45,2.222222222,0.0,24.56,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012,9,2012,9,2012,9
7CRRC6,1,2011-01-18,2011-02-14,2011-05-10,18,0.0,0.0,106.38,0.070588235,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,0,2011,1,2011,4
X5DXYC,1,2011-08-19,2011-10-10,2011-10-10,16,0.0,0.0,74.84,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,7,2011,9,2011,9
NQYJGG,1,2010-08-23,2010-09-19,2010-10-13,45,0.0,0.0,76.42,0.125,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,7,2010,8,2010,9
Q27X9W,1,2010-03-18,2010-03-18,2012-02-13,37,13.51351351,0.0,42.32,0.011477762,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,2,2010,2,2012,1
D8BMTV,0,2011-01-11,2011-05-15,2012-01-02,0,0.0,0.0,66.69,0.025862069,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,0,2011,4,2012,0
GKWZC5,1,2012-06-07,2012-06-07,2012-06-20,45,6.666666667,0.0,81.74,0.230769231,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2012,5,2012,5,2012,5
PKP53J,0,2012-10-04,2012-10-04,2012-11-29,0,0.0,0.0,114.36,0.071428571,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012,9,2012,9,2012,10
2AB8AA,0,2011-02-22,2011-02-22,2011-11-15,0,0.0,0.0,74.58,0.011278195,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,1,2011,1,2011,10
J54TUA,0,2011-08-28,2011-09-04,2011-10-04,0,0.0,0.0,69.28,0.066666667,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011,7,2011,8,2011,9
VSDCZA,1,2013-02-27,2013-12-20,2014-01-05,56,7.142857143,1.785714286,67.17,0.1875,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1,2013,11,2014,0
2LWQHL,1,2012-01-30,2012-01-30,2012-06-06,42,28.57142857,0.0,46.97,0.09375,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,0,2012,0,2012,5
AFDBSP,1,2009-05-24,2009-05-24,2009-05-24,36,25.0,0.0,7.85,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,4,2009,4,2009,4
4V3DA8,1,2011-11-13,2011-11-13,2011-11-13,46,2.173913043,2.173913043,50.6,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,10,2011,10,2011,10
P27ANX,1,2010-09-03,2010-09-21,2012-11-01,45,17.77777778,0.0,98.05,0.006476684,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,8,2010,8,2012,10
NFXTMY,1,2009-07-08,2010-03-10,2010-06-30,47,2.127659574,0.0,27.48,0.0625,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2009,6,2010,2,2010,5
HHW4W5,1,2011-05-14,2011-10-30,2011-10-30,38,42.10526316,0.0,64.29,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,4,2011,9,2011,9
RXA4QK,0,2011-11-10,2011-11-13,2011-11-13,0,0.0,0.0,51.11,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,10,2011,10,2011,10
CKY8CF,1,2009-07-09,2009-07-09,2013-11-06,41,70.73170732,9.756097561,86.98,0.004427577,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2009,6,2009,6,2013,10
E2YEVS,0,2011-05-13,2011-05-22,2011-05-22,0,0.0,0.0,53.68,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,4,2011,4,2011,4
H8V7CA,1,2012-08-28,2012-08-09,2013-11-16,35,62.85714286,2.857142857,117.04,0.004310345,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012,7,2012,7,2013,10
TFDB9V,0,2011-10-11,2011-10-12,2011-10-12,0,0.0,0.0,45.42,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,9,2011,9,2011,9
B2DF7K,0,2012-08-28,2012-08-09,2012-08-09,0,0.0,0.0,62.94,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012,7,2012,7,2012,7
MN44VB,0,2012-09-22,2012-11-16,2012-11-16,12,41.66666667,0.0,81.34,0.0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012,8,2012,10,2012,10
MVCPNZ,0,2011-05-20,2011-07-08,2011-07-08,0,0.0,0.0,50.88,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,4,2011,6,2011,6
XYCA5G,0,2009-05-04,2010-08-22,2010-08-22,0,0.0,0.0,50.72,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,4,2010,7,2010,7
SYPUJ8,0,2011-11-09,2011-11-10,2012-11-06,0,0.0,0.0,100.13,0.005524862,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,10,2011,10,2012,10
W27YVV,0,2012-01-24,2012-01-24,2012-01-24,0,0.0,0.0,61.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2012,0,2012,0,2012,0
JR3H5Z,0,2011-08-12,2011-08-14,2012-02-05,0,0.0,0.0,76.27,0.045714286,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,7,2011,7,2012,1
7CT95J,1,2010-08-10,2011-04-11,2012-01-23,46,4.347826087,0.0,57.37,0.034843206,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,7,2011,3,2012,0
NMXESV,0,2011-05-17,2011-10-10,2011-10-10,0,0.0,0.0,57.5,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,4,2011,9,2011,9
H7CS4N,1,2012-09-12,2012-09-30,2012-12-13,45,33.33333333,0.0,68.08,0.054054054,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,8,2012,8,2012,11
KBCW39,0,2009-05-23,2010-05-25,2010-05-25,0,0.0,0.0,40.71,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,4,2010,4,2010,4
EZDJ75,1,2011-04-05,2011-06-23,2011-06-23,44,11.36363636,2.272727273,110.32,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,3,2011,5,2011,5
Z59BQ4,1,2012-02-05,2012-06-07,2012-06-07,44,2.272727273,2.272727273,64.75,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2012,1,2012,5,2012,5
YXHPGM,0,2010-03-14,2010-03-14,2010-10-24,0,0.0,0.0,168.83,0.013392857,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,2,2010,2,2010,9
5Y89TB,1,2012-08-28,2012-08-30,2012-10-04,35,5.714285714,0.0,41.85,0.085714286,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012,7,2012,7,2012,9
A8CASC,1,2010-11-25,2010-12-07,2011-10-25,47,6.382978723,0.0,52.64,0.034161491,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,10,2010,11,2011,9
YQ9JX3,1,2012-05-03,2012-05-18,2012-05-18,44,2.272727273,2.272727273,114.56,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,4,2012,4,2012,4
MG4HVV,1,2013-05-15,2013-07-14,2013-07-21,41,9.756097561,4.87804878,53.6,0.285714286,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,4,2013,6,2013,6
BQWL4S,1,2012-08-28,2012-09-25,2012-10-17,38,5.263157895,0.0,54.46,0.181818182,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012,7,2012,8,2012,9
RLARBF,0,2009-07-27,2010-06-28,2010-08-02,0,0.0,0.0,85.39,1.171428571,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,6,2010,5,2010,7
NEFWCP,1,2011-08-21,2011-08-21,2011-08-21,45,0.0,0.0,51.63,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,7,2011,7,2011,7
KYAWWX,1,2009-11-03,2009-11-03,2009-12-17,18,0.0,0.0,23.93,0.181818182,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2009,10,2009,10,2009,11
Y7E6JD,1,2010-10-29,2011-05-23,2011-07-13,42,21.42857143,0.0,87.89,0.039215686,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,9,2011,4,2011,6
9FCNX4,1,2012-06-11,2012-06-11,2012-07-17,32,87.5,0.0,41.21,0.138888889,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2012,5,2012,5,2012,6
TLKMCR,1,2012-08-28,2013-09-29,2013-10-12,39,2.564102564,2.564102564,104.82,0.153846154,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2012,7,2013,8,2013,9
2XQJ7S,1,2010-09-06,2010-09-06,2010-09-27,46,4.347826087,0.0,105.08,0.19047619,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,8,2010,8,2010,8
D4WCX8,0,2013-04-17,2013-10-05,2013-10-05,4,25.0,0.0,39.67,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,3,2013,9,2013,9
LCUXGD,0,2012-05-20,2012-05-21,2012-06-21,0,0.0,0.0,54.09,0.096774194,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012,4,2012,4,2012,5
